2017-03-10 01:42:40 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:42:41 startup packages configure
2017-03-10 01:42:41 configure udev:armhf 215-17+deb8u6 <none>
2017-03-10 01:42:41 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:41 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:41 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:41 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:41 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:42 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:42 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:42 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:42 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:42 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:42 status half-configured udev:armhf 215-17+deb8u6
2017-03-10 01:43:28 status installed udev:armhf 215-17+deb8u6
2017-03-10 01:43:28 status triggers-pending initramfs-tools:all 0.120
2017-03-10 01:43:28 trigproc initramfs-tools:all 0.120 <none>
2017-03-10 01:43:28 status half-configured initramfs-tools:all 0.120
2017-03-10 01:43:28 status installed initramfs-tools:all 0.120
2017-03-10 01:43:31 startup archives unpack
2017-03-10 01:43:34 upgrade libcomerr2:armhf 1.42.12-1.1 1.42.12-2
